Богунського вулиця;347;f
Богунського провулок;348;f
Бойова вулиця;349;f
Болгарська вулиця;350;f
Росинського провулок;351;f
Болонська вулиця;352;f
Велика Гончарівська вулиця;353;f
Велика Данилівка вулиця;354;f
Велика Кільцева вулиця;355;f
Більшовицька вулиця;356;f
Більшовицька провулок;357;f
Бондаренківська вулиця;358;f
Бондаренківська вулиця;359;f
Борзенка вулиця;360;f
Надбірний в’їзд;361;f
Чичибабина Бориса вулиця;362;f
Борисівська вулиця;363;f
Борисоглібська вулиця;364;f
Борова вулиця;365;f
Бородіна вулиця;366;f
Бородинівська вулиця;367;f
Бородівський провулок;368;f
Бородівський в’їзд;369;f
Борщівський провулок;370;f
Боротьби вулиця;371;f
Ботанічна вулиця;372;f
Ботанічний провулок;373;f
Боткіна в’їзд;374;f
Боткіна провулок;375;f
Братська вулиця;376;f
Братський в’їзд;377;f
Братський проїзд;378;f
Брестська вулиця;379;f
Брестський провулок;380;f
Бригадна вулиця;381;f
Броньова вулиця;382;f
Броненосця Потьомкін вулиця;383;f
Брюсова вулиця;384;f
Брянський провулок;385;f
Бугурусланський провулок;386;f
Буздаліна вулиця;387;f
Буковинська вулиця;388;f
Буковинський провулок;389;f
Бульварна вулиця;390;f
Бурлацький провулок;391;f
Бурсацький узвіз;392;f
Бутлеровський в’їзд;393;f
Вавилова вулиця;394;f
Вагнера вулиця;395;f
Вагонна вулиця;396;f
Вакулівська вулиця;397;f
Валдайська вулиця;398;f
Валдайський провулок;399;f
Валер’янівська вулиця;400;f
Валківський провулок;401;f
Ванди Василевської провулок;402;f
Ванди Василевської вулиця;403;f
Варварівська вулиця;404;f
Варениківський провулок;405;f
Варламівський провулок;406;f
Варшавський провулок;407;f
Блакитного Василя вулиця;408;f
Василівський провулок;410;f
Васнецова провулок;411;f
Васнецова проїзд;412;f
Васнецова вулиця;413;f
Ватутіна провулок;414;f
Ватутіна вулиця;415;f
Велозаводська вулиця;416;f
Велозаводський проїзд;417;f
Велозаводський провулок;418;f
Верещагіна провулок;419;f
Веринська вулиця;420;f
Верхньо-Удинська вулиця;421;f
Верхньогіївська вулиця;422;f
Верхній в’їзд;423;f
Верхній провулок;424;f
Верхівський провулок;425;f
Верхоянська вулиця;426;f
Віри Фігнер вулиця;427;f
Весела вулиця;428;f
Веселий провулок;429;f
Весінній провулок;430;f
Весніна узвіз;431;f
Весніна вулиця;432;f
Вешенська вулиця;433;f
Вешенський в’їзд;434;f
Ващенківський в’їзд;435;f
Ващенківський провулок;436;f
Віктора Гюго вулиця;437;f
Віленський провулок;438;f
Вінницький провулок;439;f
Виноградна вулиця;440;f
Виноградний провулок;441;f
Вітебська вулиця;442;f
Вишнева вулиця;443;f
Вишневий в’їзд;444;f
Владивостоцька вулиця;446;f
Челябінський провулок;447;f
Володимирська вулиця;448;f
Власенка вулиця;449;f
Власівський провулок;450;f
Внуківський провулок;451;f
Водопровідна вулиця;452;f
Військова вулиця;453;f
Відродження вулиця;454;f
Відродження провулок;455;f
Войкова вулиця;456;f
Вокзальна вулиця;457;f
Волго-Донський провулок;458;f
Волгоградська вулиця;459;f
Волзька вулиця;460;f
Вологодська вулиця;461;f
Вологодський в’їзд;462;f
Володарського вулиця;463;f
Володарського провулок;464;f
Дубініна Володі провулок;465;f
Воложанівська вулиця;466;f
Волоколамський провулок;467;f
Волочаївська вулиця;468;f
Волхівська вулиця;469;f
Вовчанська вулиця;470;f
Волинська вулиця;471;f
Воробйова вулиця;472;f
Воровського вулиця;473;f
Вороніхіна провулок;474;f
Вороніхіна вулиця;475;f
Повстання провулок;476;f
Повстання площа;477;f
Східна вулиця;478;f
Східний проїзд;479;f
Другої П’ятирічки вулиця;480;f
Виборзький провулок;481;f
Виборна вулиця;482;f
Виборний провулок;483;f
Високовольтна вулиця;484;f
Високовольтний в’їзд;485;f
Високовольтний провулок;486;f
Високогірна вулиця;487;f
Високогірний проїзд;488;f
Високогірний провулок;489;f
Кашуби вулиця;490;f
Петровського в’їзд;491;f
Височинська вулиця;492;f
