Найменування зупинки,Попередня назва,Адреса зупинки,Розташування зупинки,Напрямок руху,Район,Автобус,Тролейбус,Трамвай
вулиця Льговська,вул. Льговська,"Гагаріна просп., 185",Гагаріна просп.,до центру,Комінт.,●,●,
вулиця Південнопроектна,вул. Південнопроектна,"Гагаріна просп., 187/1",Гагаріна просп.,до центру,Комінт.,●,●,
вулиця Сохора,вул. Сохора,"Гагаріна просп., 199",Гагаріна просп.,до центру,Комінт.,●,●,
Мерефянське шосе,Мерефянське шосе,П'ятдесятиріччя СРСР просп.,П'ятдесятиріччя СРСР просп.,на Салтівку,Комінт.,●,,
Мерефянське шосе,Мерефянське шосе,"Гагаріна просп., 201",Гагаріна просп.,до центру,Комінт.,●,●,
вулиця Аерофлотська,вул. Аерофлотська,Гагаріна просп.,Гагаріна просп.,до центру,Комінт.,●,●,
вулиця Аерофлотська,вул. Аерофлотська,"Аерофлотська вул., 2",Аерофлотська вул.,до Аеропорту,Комінт.,●,●,
вулиця Ромашкіна,"вул. Ромашкіна, Готель «Аеропорт»","Аерофлотська вул., 16",Аерофлотська вул.,до Аеропорту,Комінт.,●,●,
Аеропорт,Аеропорт,"Ромашкіна вул., 1",Аерофлотська вул.,від центру,Комінт.,●,●,
вулиця Одеська,вул. Одеська,"Гагаріна просп., 181",Гагаріна просп.,кінцева (до вул. 12 квітня),Комінт.,●,●,
вулиця Одеська,вул. Одеська,"Гагаріна просп., 179",Героїв Сталінграда просп.,до вул. 12 Квітня,Комінт.,●,●,
вулиця Одеська,вул. Одеська,"Гагаріна просп., 179",Героїв Сталінграда просп.,кільце,Комінт.,●,●,
вулиця Монюшка,Тролейбусне депо №2,"Забайкальський пров., 1",Героїв Сталінграда просп.,до вул. 12 Квітня,Комінт.,●,●,
вулиця Монюшка,Тролейбусне депо №2,"Героїв Сталінграда просп., 9а",Героїв Сталінграда просп.,до центру,Комінт.,●,●,
вулиця Фонвізіна,вул. Фонвізіна,"Героїв Сталінграда просп., 27",Героїв Сталінграда просп.,до центру,Комінт.,●,●,
вулиця Морозова,вул. Морозова,"Героїв Сталінграда просп., 45",Героїв Сталінграда просп.,до центру,Комінт.,●,●,
вулиця Морозова,вул. Морозова,"Морозова вул., 53",Героїв Сталінграда просп.,до вул. 12 Квітня,Комінт.,●,●,
вулиця Холмогорська,вул. Холмогорська,"Героїв Сталінграда просп., 80",Героїв Сталінграда просп.,к вул. 12 Квітня,Комінт.,●,●,
вулиця Холмогорська,вул. Холмогорська,"Героїв Сталінграда просп., 101",Героїв Сталінграда просп.,до центру,Комінт.,●,●,
28-й мікрорайон,28 м/р,"Героїв Сталінграда просп., 153",Героїв Сталінграда просп.,до центру,Комінт.,●,●,
