Найменування зупинки,Попередня назва,Адреса зупинки,Розташування зупинки,Напрямок руху,Район,Автобус,Тролейбус,Трамвай
вулиця Молодіжна,вул. Молодіжна,"Молодіжна вул., 1",Молодіжна вул.,"до ст.м. ""Пролетарська""",Орджон.,●,,
провулок Тюленіна,МПТУ №1,"Молодіжна вул., 157",Молодіжна вул.,"до ст.м. ""Пролетарська""",Орджон.,●,,
провулок Тюленіна,МПТУ №1,"Молодіжна вул., 158",Молодіжна вул.,в бік Рогані,Орджон.,●,,
"станція метро ""Пролетарська""",ст.м. «Пролетарська»,"Московський просп., 276б",Московський просп.,до центру,Орджон.,●,●,
"станція метро ""Пролетарська""",ст.м. «Пролетарська»,"Московський просп., 276б",Московський просп.,від центра,Орджон.,●,●,
вулиця Плиткова,вул. Плиткова,"Московський просп., 301а",Московський просп.,від центра,Орджон.,●,●,
вулиця Плиткова,вул. Плиткова,"Московський просп., 301а",Плиткова вул.,від центра,Орджон.,●,●,
вулиця Плиткова,вул. Плиткова,"Московський просп., 301а",Московський просп.,до центру,Орджон.,●,●,
вулиця П'ятихатська,ул. Пятихатская,"Московський просп., 297б",Московський просп.,до центру,Орджон.,●,●,
вулиця П'ятихатська,ул. Пятихатская,"Московський просп., 303",Московський просп.,від центра,Орджон.,●,●,
"мікрорайон ""Сонячний""",м/р Солнечный,"Московський просп., 302а",Московський просп.,від центра,Орджон.,●,●,
"мікрорайон ""Сонячний""",м/р Солнечный,"Московський просп., 302а",Московський просп.,до центру,Орджон.,●,●,
бульвар Грицевця,вул. Велика Кільцева,"Грицевця б-р, 3",Грицевця б-р,до центру,Орджон.,●,●,
бульвар Грицевця,вул. Велика Кільцева,"Грицевця б-р, 4",Грицевця б-р,від центра,Орджон.,●,●,
"вулиця Велика Кільцева, 6",вул. Велика Кільцева (б. 6),"Велика Кільцева вул., 6",Велика Кільцева вул.,до вул. Ростовської,Орджон.,●,,
"вулиця Велика Кільцева, 14",вул. Велика Кільцева (б. 14),"Велика Кільцева вул., 14",Велика Кільцева вул.,до вул. Ростовської,Орджон.,●,,
"вулиця Велика Кільцева, 16",вул. Велика Кільцева (б. 16),"Велика Кільцева вул., 16",Велика Кільцева вул.,до вул. Ростовської,Орджон.,●,,
вулиця Ростовська,вул. Ростовська (б. 16 арка 3),"Ростовська вул., 7",Ростовська вул.,до б-ру Грицевця,Орджон.,●,,
"вулиця Ростовська, 3",вул. Ростовська (б. 16 арка 4),"Ростовська вул., 3",Ростовська вул.,до б-ру Грицевця,Орджон.,●,,
вулиця Мала Кільцева,масив «Горизонт»,Мала Кільцева вул.,Мала Кільцева вул.,висадка,Орджон.,●,●,
"мікрорайон ""Горизонт""",масив «Горизонт»,Мала Кільцева вул.,Мала Кільцева вул.,до м. «Пролетарська»,Орджон.,●,●,
вулиця Луї Пастера,вул. Луї Пастера,"Грицевця вул., 11а",Грицевця вул.,до м. «Пролетарська»,Орджон.,●,,
вулиця Луї Пастера,вул. Луї Пастера,"Грицевця вул., 11а",Грицевця вул.,до вул. Зубарєва,Орджон.,●,,
вулиця Грицевця,вул. С. Грицевця,"Луї Пастера вул., 359",Луї Пастера вул.,до м. «Пролетарська»,Орджон.,●,,
вулиця Грицевця,вул. С. Грицевця,"Грицевця вул., 14а",Грицевця вул.,до вул. Зубарєва,Орджон.,●,,
вулиця Грицевця,вул. С. Грицевця,"Грицевця вул., 14а",Грицевця вул.,до вул. Зубарєва,Орджон.,●,,
вулиця Миру,вул. Миру,"Плиткова вул., 1",Плиткова вул.,до м. «Пролетарська»,Орджон.,●,●,
вулиця Миру,вул. Миру,"Плиткова вул., 4/3",Плиткова вул.,від м. «Пролетарська»,Орджон.,●,●,
вулиця Роганська,вул. Роганська (Плиткова),"Плиткова вул., 44",Плиткова вул.,до вул. Зубарєва,Орджон.,●,,
вулиця Верстатна,вул. Верстатна,"Плиткова вул., 80/78",Плиткова вул.,до вул. Зубарєва,Орджон.,●,,
вулиця Верстатна,вул. Верстатна,"Плиткова вул., 65а",Плиткова вул.,до ст. м. «Пролетарська»,Орджон.,●,,
вулиця Молодіжна,вул. Молодіжна,"Молодіжна вул., 266",Плиткова вул.,до вул. Зубарєва,Орджон.,●,,
вулиця Молодіжна,вул. Молодіжна,"Молодіжна вул., 261/91",Плиткова вул.,до ст. м. «Пролетарська»,Орджон.,●,,
Східна,Східна,"Шарикова вул., 29",Шарикова вул.,до ст. м. «Пролетарська»,Орджон.,●,●,
Роганська,Роганська,"Роганська вул., 156",Роганська вул.,висадка,Орджон.,●,●,
Роганська,Роганська,"Роганська вул., 123",Роганська вул.,до ст. м. «Пролетарська»,Орджон.,●,●,
вулиця Луї Пастера,вул. Луї Пастера (Поліклініка),"Роганська вул., 132",Луї Пастера вул.,до вул. Зубарєва,Орджон.,●,,
вулиця Луї Пастера,вул. Луї Пастера (Поліклініка)),"Роганська вул., 132",Роганська вул.,до ст. м. «Пролетарська»,Орджон.,●,●,
вулиця Луї Пастера,вул. Луї Пастера,"Роганська вул., 132",Роганська вул.,до вул. Зубарєва,Орджон.,●,●,
вулиця Грицевця,вул. С. Грицевця,Роганська вул.,Роганська вул.,до вул. Зубарєва,Орджон.,●,●,
вулиця Грицевця,вул. С. Грицевця,Роганська вул.,Роганська вул.,до ст. м. «Пролетарська»,Орджон.,●,●,
вулиця Гур’євська,вул. Гур’євська,"Роганська вул., 100б",Роганська вул.,до ст. м. «Пролетарська»,Орджон.,●,●,
вулиця Гур’євська,вул. Гур’євська,"Роганська вул., 89",Роганська вул.,до вул. Зубарєва,Орджон.,●,●,
вулиця Мохнацька,вул. Мохнацька,"Роганська вул., 70",Роганська вул.,до вул. Зубарєва,Орджон.,●,●,
вулиця Мохнацька,вул. Мохнацька,"Роганська вул., 63",Роганська вул.,до ст. м. «Пролетарська»,Орджон.,●,●,
бульвар Івана Каркача,б-р І. Каркача,"Роганська вул., 17",Роганська вул.,до ст. м. «Пролетарська»,Орджон.,●,●,
бульвар Івана Каркача,б-р І. Каркача,"Роганська вул., 20",Роганська вул.,до вул. Зубарєва,Орджон.,●,●,
Східна,Східна,"Шарикова вул., 29",Шарикова вул.,висадка,Орджон.,●,●,
вулиця Плиткова,вул. Плиткова,"Плиткова вул., 99/271",Луї Пастера вул.,висадка (до вул. Зубарєва),Орджон.,●,,
вулиця Плиткова,вул. Плиткова,"Плиткова вул., 134",Луї Пастера вул.,до ст. м. «Пролетарська»,Орджон.,●,,
вулиця Пономаренківська,вул. Понамаренківська,"Молодіжна вул., 247/101",Луї Пастера вул.,до ст. м. «Пролетарська»,Орджон.,●,,
вулиця Пономаренківська,вул. Понамаренківська,"Луї Пастера вул., 260",Луї Пастера вул.,до вул. Плиткової,Орджон.,●,,
проїзд Котласький 1-й,вул. Луї Пастера (зал царства),"Луї Пастера вул., 315",Луї Пастера вул.,до пр. Косіора,Орджон.,●,,
проїзд Котласький 1-й,вул. Луї Пастера (зал царства),"Луї Пастера вул., 304",Луї Пастера вул.,до Рогані,Орджон.,●,,
вулиця Мохнацька,вул. Мохнацька,"Івана Каркача б-р, 25",Івана Каркача б-р,до вул. Плиткової,Орджон.,●,,
вулиця Мохнацька,вул. Мохнацька,"Івана Каркача б-р, 6а",Івана Каркача б-р,до ст. м. «Пролетарська»,Орджон.,●,,
вулиця Верстатна,вул. Верстатна,"Верстатна вул., 1",Івана Каркача б-р,до вул. Плиткової,Орджон.,●,,
вулиця Верстатна,вул. Верстатна,"Верстатна вул., 2",Івана Каркача б-р,до ст. м. «Пролетарська»,Орджон.,●,,
провулок Луї Пастера,5-типоверхівка бул. І. Каркача,"Івана Каркача б-р, 73",Івана Каркача б-р,до вул. Плиткової,Орджон.,●,,
провулок Луї Пастера,5-типоверхівка бул. І. Каркача,"Івана Каркача б-р, 73",Івана Каркача б-р,до ст. м. «Пролетарська»,Орджон.,●,,
вулиця Роганська,вул. Роганська,"Івана Каркача б-р, 2а",Івана Каркача б-р,до бул. І. Каркача,Орджон.,●,,
вулиця 2-ї П'ятирічки,вул. 2-ої П’ятирічки,"Миру вул., 22",Орджонікідзе просп.,до вул. Дністровської,Орджон.,●,,
вулиця 2-ї П'ятирічки,вул. 2-ої П’ятирічки,"Орджонікідзе просп., 6",Орджонікідзе просп.,"до ст. м. ""Тракторний завод""",Орджон.,●,,
проспект Орджонікідзе,Спортшкола (пр. Орджонікідзе),"Луї Пастера вул, 59",Орджонікідзе просп.,"до ст. м. ""Тракторний завод""",Орджон.,●,,
проспект Орджонікідзе,Спортшкола (пр. Орджонікідзе),"Луї Пастера вул, 4",Луї Пастера вул.,до сел. Фрунзе,Орджон.,●,,
проспект Фрунзе,пр. Фрунзе,"Луї Пастера вул, 101/86",Луї Пастера вул.,"до ст. м. ""Тракторний завод""",Орджон.,●,,
проспект Фрунзе,пр. Фрунзе,"Луї Пастера вул, 28/89",Луї Пастера вул.,до сел. Фрунзе,Орджон.,●,,
вулиця Тухачевського,вул. Тухачевського,"Орджонікідзе просп., 37",Орджонікідзе просп.,"до ст. м. ""Тракторний завод""",Орджон.,●,,
вулиця Тухачевського,вул. Тухачевського,"Орджонікідзе просп., 28/30",Орджонікідзе просп.,до вул. Дністровської,Орджон.,●,,
вулиця Сусаніна,вул. 12-го Квітня,"Дністровська вул., 10/64",Дністровська вул.,до вул. Дністровської,Орджон.,●,,
вулиця Дністровська,вул. Дністровська,"Луї Пастера вул., 139/8",Луї Пастера вул.,"до ст. м. ""Тракторний завод""",Орджон.,●,,
вулиця Дністровська,вул. Дністровська,"Дністровська вул., 9",Дністровська вул.,до вул. Зубарєва,Орджон.,●,,
вулиця Дністровська,вул. Дністровська,"Дністровська вул., 84",Дністровська вул.,кінцева,Орджон.,●,,
"станція метро ""Пролетарська""",ст.м. «Пролетарська»,"Миру вул., 11",Миру вул.,до вул. Миру,Орджон.,●,,
вулиця Миру,Фора,"Миру вул., 74",Миру вул.,до ст.м. «Пролетарська»,Орджон.,●,,
вулиця Миру,Фора,"Миру вул., 74",Миру вул.,до вул. Зубарєва,Орджон.,●,,
вулиця Івана Каркача,Їдальня,"Миру вул., 90",Миру вул.,до ст.м. «Пролетарська»,Орджон.,●,,
вулиця Івана Каркача,Їдальня,"Миру вул., 90",Миру вул.,до вул. Зубарєва,Орджон.,●,,
вулиця Плиткова,Школа,"Плиткова вул., 1",Миру вул.,до ст.м. «Пролетарська»,Орджон.,●,,
вулиця Плиткова,Школа,"Плиткова вул., 1",Миру вул.,до вул. Зубарєва,Орджон.,●,,
вулиця Електровозна,Інтернат,"Миру вул., 94",Миру вул.,до ст.м. «Пролетарська»,Орджон.,●,,
вулиця Електровозна,Інтернат,"Миру вул., 94",Миру вул.,до вул. Зубарєва,Орджон.,●,,
провулок Дарьяльський,Універсам №14,"Гицевця вул., 33а",Грицевця вул.,до вул. Зубарєва,Орджон.,●,,
провулок Дарьяльський,Універсам №14,"Гицевця вул., 44",Грицевця вул.,до вул. Зубарєва,Орджон.,●,,
вулиця Зубарєва,вул. Зубарєва,"Зубарєва вул., 32",Зубарєва вул.,кінцева,Орджон.,●,,
759-й мікрорайон,вул. Зубарєва,"Зубарєва вул., 49",Зубарєва вул.,кінцева,Орджон.,●,,
вулиця Мохнацька,вул. Мохнацька,"Мохнацька вул., 73",Електровозна вул.,кінцева,Орджон.,●,,
вулиця Тархова,Окружна дорога,П'ятихатська вул.,П'ятихатська вул.,до вул. Плиткової,Орджон.,●,,
вулиця Тархова,Окружна дорога,П'ятихатська вул.,П'ятихатська вул.,до вул. Луї Пастера,Орджон.,●,,
"станція метро ""Тракторний Завод""",ст.м. «Тракторний з-д»,"Орджонікідзе просп., 2",Московський просп.,до ст. м. «Пролетарська»,Орджон.,●,,
"станція метро ""Тракторний Завод""",ст.м. «Тракторний з-д»,"Орджонікідзе просп., 2",Московський просп.,,Орджон.,●,,
вулиця 12-го Квітня,вул. 12-го Квітня,"Миру вул., 54/1",Миру вул.,до вул. Роганської,Орджон.,●,,
вулиця Довженка,вул. Довженка,"Довженка вул., 1",Довженка вул.,кінцева,Орджон.,●,,
вулиця Механізаторів,РТС,"Механізаторів вул., 1",Механізаторів вул.,до вул. 17-го Партз’їзду,Орджон.,●,,
вулиця Механізаторів,РТС,"Механізаторів вул., 1",Механізаторів вул.,до вул. Довженка,Орджон.,●,,
4-е міське кладовище,Кладовище № 4,"Луї Пастера вул., 2",Сімнадцятого Партз'їзду вул.,до вул. Довженка,Орджон.,●,,
4-е міське кладовище,Кладовище № 4,"Луї Пастера вул., 2",Сімнадцятого Партз'їзду вул.,до пр. Косіора,Орджон.,●,,
вулиця Тухачевського,вул. Тухачевського ,"Третього Інтернаціоналу вул., 14",Третього Інтернаціоналу вул.,до кладовища № 4,Орджон.,●,,
вулиця Тухачевського,вул. Тухачевського ,"Сімнадцятого Партз'їзду вул., 32",Сімнадцятого Партз'їзду вул.,до пр. Косіора,Орджон.,●,,
Пивзавод,"Пивзавод ""Рогань""","Роганська вул, 161",Роганська вул.,до вул. Роганської,Орджон.,●,,
Пивзавод,"Пивзавод ""Рогань""","Роганська вул, 161",Роганська вул.,до пр. Косіора,Орджон.,●,,
вулиця Горлівська,Молочний комбінат,"Роганська вул, 149",Роганська вул.,до вул. Роганської,Орджон.,●,,
вулиця Горлівська,Молочний комбінат,"Роганська вул, 149",Роганська вул.,до пр. Косіора,Орджон.,●,,
провулок Дарьяльський,Універсам №14,"Гицевця вул., 44",Грицевця вул.,до вул. Луї Пастера,Орджон.,●,,
провулок Дарьяльський,Універсам №14 («Клас»),"Гицевця вул., 33а",Грицевця вул.,до вул. Луї Пастера,Орджон.,●,,
вулиця Свистуна,вул. Свистуна,"Московський просп., 262",Московський просп.,від ст. м. «Пролетарська»,Орджон.,●,,
вулиця Свистуна,вул. Свистуна,"Московський просп., 262",Московський просп.,від ст. м. «Масельського»,Орджон.,●,,
вулиця 17-го Партз'їзду,вул. XVII партз’їзду,"Московський просп., 266",Московський просп.,від ст. м. «Пролетарська»,Орджон.,●,,
вулиця 17-го Партз'їзду,вул. XVII партз’їзду,"Московський просп., 266",Московський просп.,від ст. м. «Масельського»,Орджон.,●,,
"станція метро ""Тракторний Завод""",ст.м. «Тракторний з-д»,Лосівська вул.,Лосівська вул.,кільце,Орджон.,●,,
"станція метро ""Тракторний Завод""",ст.м. «Тракторний з-д»,Лосівська вул.,Лосівська вул.,до вул. Зубарєва,Орджон.,●,,
"станція метро ""Тракторний Завод""",ст.м. «Тракторний з-д»,Лосівська вул.,Лосівська вул.,"до ст. м. ""Тракторний завод""",Орджон.,●,,
вулиця Соколова,БК ВАТ ХТЗ,"Орджонікідзе просп., 6",Орджонікідзе просп.,до пр. Косіора,Орджон.,●,,
вулиця Соколова,БК ВАТ ХТЗ,"Орджонікідзе просп., 9",Орджонікідзе просп.,"до ст. м. ""Масельського""",Орджон.,●,,
вулиця Бекетова,вул. Бекетова,"Другої П'ятирічки вул., 29",Другої П'ятирічки вул.,на Салтівку,Орджон.,●,,
вулиця Бекетова,вул. Бекетова,"Другої П'ятирічки вул., 22/9",Другої П'ятирічки вул.,до ХТЗ,Орджон.,●,,
проспект Фрунзе,пр. Фрунзе,"Другої П'ятирічки вул., 37/8",Другої П'ятирічки вул.,до центру,Орджон.,●,,
проспект Фрунзе,пр. Фрунзе,"Фрунзе просп., 17/34",Другої П'ятирічки вул.,"до ст. м. ""Масельського""",Орджон.,●,,
вулиця 12-го Квітня,вул. 12 Квітня,"Дванадцятого Квітня вул., 8",Другої П'ятирічки вул.,до центру,Орджон.,●,,
вулиця 12-го Квітня,вул. 12 Квітня,"Дванадцятого Квітня вул., 7а",Другої П'ятирічки вул.,"до ст. м. ""Масельського""",Орджон.,●,,
"парк ""Зелений Гай""",Парк 40 років Перемоги,"Миру вул., 68",Другої П'ятирічки вул.,висадка/посадка,Орджон.,●,,
вулиця 17-го Партз'їзду,вул. Свистуна,"Московський просп., 275",Московський просп.,до плиткового заводу,Орджон.,,,●
проспект Орджонікідзе,просп. Орджонікідзе,"просп. Косіора, 85 а 
",Косіора просп.,до центру,Орджон.,●,,
вулиця Шарикова,супермаркет «Дигма»,"Шарикова вул., 44а",Шарикова вул.,до вул. Роганської,Орджон.,●,,
вулиця Шарикова,супермаркет «Дигма»,"Шарикова вул., 45",Шарикова вул.,до вул. Плиткової,Орджон.,●,,
"з.ст. ""Рогань""","ст. ""Рогань""","Роганська вул., 165",Роганська вул.,кінцева,Орджон.,●,,
Східна,Східна,"Шарикова вул., 29",Шарикова вул.,до вул. Плиткової,Орджон.,●,,
вулиця П'ятихатська,вул. Шарикова,"Шарикова вул., 53",Шарикова вул.,в бік РТС,Орджон.,●,,
Салтівське шосе,Салтівське шосе,"Салтівське шосе, 228",Тракторобудівників просп.,до ст. «Салтівська»,Фрунз.,,,●
вулиця Корчагінців ,вул. Кронштадтська,"Тракторобудівників просп., 52",Тракторобудівників просп.,до ст. «Салтівська»,Фрунз.,,,●
вулиця Кронштадтська,вул. Кронштадтська,"Тракторобудівників просп., 62",Тракторобудівників просп.,до ст. «Салтівська»,Фрунз.,,,●
вулиця Корчагінців ,вул. Корчагінців,"Петрозаводська вул., 81",Тракторобудівників просп.,до Плиткового заводу,Фрунз.,●,,
вулиця Корчагінців ,вул. Корчагінців,"Тракторобудівників просп., 48",Тракторобудівників просп.,до Плиткового заводу,Фрунз.,●,,
вулиця Краснодарська,вул. Краснодарська,"Тракторобудівників просп., 4",Тракторобудівників просп.,до ст. «Салтівська»,Фрунз.,●,,
вулиця Краснодарська,вул. Краснодарська,"Тракторобудівників просп., 4",Тракторобудівників просп.,до ст. «Салтівська»,Фрунз.,,,●
вулиця Краснодарська,вул. Краснодарська,"Краснодарська вул., 176/2",Тракторобудівників просп.,до Плиткового заводу,Фрунз.,●,,
вулиця Краснодарська,вул. Краснодарська,"Тракторобудівників просп., 4",Тракторобудівників просп.,до Плиткового заводу,Фрунз.,,,●
вулиця Немишлянська,вул. Немишлянська,"Немишлянська вул., 228",Тракторобудівників просп.,до Плиткового заводу,Фрунз.,●,,
вулиця Немишлянська,вул. Немишлянська,"Немишлянська вул., 293",Тракторобудівників просп.,до Плиткового заводу,Фрунз.,,,●
вулиця Немишлянська,вул. Немишлянська,"Немишлянська вул., 293",Тракторобудівників просп.,до ст. «Салтівська»,Фрунз.,●,,
вулиця Немишлянська,вул. Немишлянська,"Немишлянська вул., 236",Тракторобудівників просп.,до ст. «Салтівська»,Фрунз.,,,●
вулиця Автогенна,вул. Яблунева,"Автогенна вул., 3",Тракторобудівників просп.,до ст. «Салтівська»,Фрунз.,,,●
вулиця Автогенна,вул. Яблунева,"Автогенна вул., 3",Тракторобудівників просп.,до ст. «Салтівська»,Фрунз.,●,,
вулиця Автогенна,вул. Яблунева,"Автогенна вул., 3",Тракторобудівників просп.,до Плиткового заводу,Фрунз.,,,●
вулиця Автогенна,вул. Яблунева,"Автогенна вул., 3",Тракторобудівників просп.,до Плиткового заводу,Фрунз.,●,,
"станція метро ""ім. Масельського""","ст. м ""ім. Масельського""","Московський просп., 273",Московський просп.,до Плиткового заводу,Фрунз.,,,●
"станція метро ""ім. Масельського""","ст. м ""ім. Масельського""","Московський просп., 273",Московський просп.,до ст. «Салтівська»,Фрунз.,,,●
"станція метро ""ім. Масельського""","ст. м ""ім. Масельського""","Московський просп., 273а",Лосівська вул.,"до ст.м. ""Пролетарська""",Фрунз.,●,,
"станція метро ""ім. Масельського""","ст. м ""ім. Масельського""","Московський просп., 273а",Лосівська вул.,до ст. «Салтівська»,Фрунз.,●,●,
"станція метро ""ім. Масельського""","ст. м ""ім. Масельського""","Московський просп., 273а",Лосівська вул.,"до ст. м. ""Тракторний Завод""",Фрунз.,●,●,
вулиця Високовольтна,вул. Високовольтна,"Косіора просп., 32/37",Косіора просп.,до вул. 12 Квітня,Фрунз.,●,●,
вулиця Високовольтна,вул. Високовольтна,"Високовольтна вул., 32",Косіора просп.,до центру,Фрунз.,●,●,
вулиця Осипенко,вул. Осипенко,"Осипенко вул., 55а",Косіора просп.,до центру,Фрунз.,●,●,
вулиця Осипенко,вул. Осипенко,"Косіора просп., 72",Косіора просп.,до вул. 12 Квітня,Фрунз.,●,●,
вулиця Пожарського,вул. Пожарського,"Косіора просп., 106/1",Косіора просп.,до вул. 12 Квітня,Фрунз.,●,●,
вулиця Пожарського,вул. Пожарського,"Косіора просп., 61",Косіора просп.,до центру,Фрунз.,●,●,
вулиця Осипенко,вул. Осипенко,"Осипенко вул., 2",Богдана Хмельницького б-р,до вул. 12 Квітня,Фрунз.,●,●,
вулиця Осипенко,вул. Осипенко ,"Косіора просп., 43",Богдана Хмельницького б-р,до пр. Московського,Фрунз.,●,●,
вулиця Філіппова,Ліцей Будівництва,"Танкопія вул., 47",Танкопія вул.,до вул. Ощепкова,Фрунз.,,●,
вулиця Філіппова,вул. Філіппова,"Богдана Хмельницького б-р, 30",Богдана Хмельницького б-р,до пр. Косіора,Фрунз.,,●,
вулиця Філіппова,Ліцей Будівництва,"Танкопія вул., 51",Танкопія вул.,до б-ру Б. Хмельницького,Фрунз.,●,●,
вулиця Ощепкова,вул. Ощепкова,"Філіппова вул., 1",Танкопія вул.,до б-ру Б. Хмельницького,Фрунз.,●,●,
вулиця Ощепкова,вул. Ощепкова,"Танкопія вул., 39/18",Танкопія вул.,до ст.м. «Маршала Жукова»,Фрунз.,●,●,
вулиця Ощепкова,вул. Ощепкова,"Ощепкова вул., 16",Ощепкова вул.,до пр. Московського,Фрунз.,,●,
вулиця Рибалка,вул. Рибалка,"Рибалка вул., 21/15",Ощепкова вул.,до пр. Московського,Фрунз.,●,●,
Спорткомплекс ХТЗ,Спорткомплекс ХТЗ,"Рибалка вул., 48/24",Богдана Хмельницького б-р,до вул. Танкопия,Фрунз.,●,●,
Спорткомплекс ХТЗ,Спорткомплекс ХТЗ,"Московський просп., 244/1",Богдана Хмельницького б-р,до пр. Московського,Фрунз.,●,●,
бульвар Богдана Хмельницького,б-р Б. Хмельницького,"Московський просп., 244/1",Богдана Хмельницького б-р,висадка,Фрунз.,●,●,
бульвар Богдана Хмельницького,б-р Б. Хмельницького,"Богдана Хмельницького б-р, 6",Богдана Хмельницького б-р,до вул. Танкопія,Фрунз.,●,●,
"станція метро ""Радянської Армії""",ст.м. «Радянської Армії»,"Московський просп., 220",Московський просп.,до б-ру Б. Хмельницького,Фрунз.,●,●,
"станція метро ""Радянської Армії""",ст.м. «Радянської Армії»,"Московський просп., 269",Московський просп.,до центру,Фрунз.,●,●,
вулиця Танкопія,вул. Танкопія,"Танкопія вул., 9/23",Танкопія вул.,до б-ру Б. Хмельницького,Фрунз.,●,●,
вулиця Танкопія,вул. Танкопія,"Танкопія вул., 9/23",Танкопія вул.,до ст.м. «Маршала Жукова»,Фрунз.,●,,
Станція юних туристів,Станція юних туристів,"Танкопія вул., 13",Танкопія вул.,до ст.м. «Маршала Жукова»,Фрунз.,●,●,
вулиця Танкопія,вул. Танкопія,"Жукова просп., 21",Жукова просп.,до ст.м. «Маршала Жукова»,Фрунз.,●,●,
Палац Спорту,Палац спорту,"Юрьєва б-р, 1",Жукова просп.,до ст.м. «Маршала Жукова»,Фрунз.,●,●,
Палац Спорту,Палац спорту,"Жукова просп., 2",Жукова просп.,до 28 м/р,Фрунз.,●,●,
"станція метро ""Маршала Жукова""",ст. м. «Маршала Жукова»,"Московський просп., 144",Жукова просп.,висадка,Фрунз.,●,●,
"станція метро ""Маршала Жукова""",ст. м. «Маршала Жукова»,"Московський просп., 144",Жукова просп.,до 28 м/р,Фрунз.,●,●,
"парк ""Зустріч""","парк ""Зустріч""","Садовопаркова вул., 8",Садовопаркова вул.,висадка,Комінт.,●,●,
"парк ""Зустріч""","парк ""Зустріч""","Харківських Дивізій вул., 29",Харківських Дивізій вул.,до пр. Московського,Фрунз.,●,●,
вулиця Головачова,вул. Головачова,Харківських Дивізій вул.,Харківських Дивізій вул.,до 25 м/р,Фрунз.,●,●,
вулиця Головачова,вул. Головачова,Харківських Дивізій вул.,Харківських Дивізій вул.,до пр. Московського,Фрунз.,●,●,
вулиця Танкопія,вул. Танкопія,"Харківських Дивізій вул., 19",Харківських Дивізій вул.,до пр. Московського,Фрунз.,●,●,
"станція метро ""Маршала Жукова""",ст. м. «Маршала Жукова»,"Жукова просп., 3",Жукова просп.,до пр. Московського,Фрунз.,●,,
бульвар Юр’єва,б-р. Юр’єва,"Харківських Дивізій вул., 14",Харківських Дивізій вул.,до 25 м/р,Фрунз.,●,●,
бульвар Юрьєва,б-р. Юр’єва,"Харківських Дивізій вул., 9",Харківських Дивізій вул.,до пр. Московського,Фрунз.,●,●,
вулиця Харківських Дивізій,вул. Харківських Дивізій,"Харківських Дивізій вул., 4",Харківських Дивізій вул.,до 25 м/р,Фрунз.,●,●,
Московський проспект,пр. Московський,"Московський просп., 259",Московський просп.,до пл. Повстання,Фрунз.,●,●,
вулиця Межлаука,вул. Межлаука,"Московський просп., 257",Московський просп.,до пл. Повстання,Фрунз.,●,●,
вулиця Межлаука,вул. Межлаука,"Московський просп., 196/1",Московський просп.,до 25 м/р,Фрунз.,●,●,
"станція метро ""Маршала Жукова""",ст. м. «Жукова»,"Московський просп., 144",Московський просп.,до 25 м/р,Фрунз.,●,●,
"станція метро ""Маршала Жукова""",ст. м. «Жукова»,"Московський просп., 257",Московський просп.,до пл. Повстання,Фрунз.,●,●,
"Видавництво ""Харків""","Видавництво ""Харків""","Московський просп., 247",Московський просп.,до пл. Повстання,Фрунз.,●,●,
"Видавництво ""Харків""","Видавництво ""Харків""","Московський просп., 142",Московський просп.,до 25 м/р,Фрунз.,●,●,
"станція метро ""Московський проспект""",ст. м. «Московський проспект»,"Московський просп., 138а",Московський просп.,до 25 м/р,Фрунз.,●,●,
"станція метро ""Московський проспект""",ст. м. «Московський проспект»,"Московський просп., 201а",Московський просп.,до пл. Повстання,Моск.,●,●,
"станція метро ""Московський проспект""",ст. м. «Московський проспект»,"Московський просп., 138а",Московський просп.,на Салтівку,Фрунз.,●,●,
"Видавництво ""Харків""",Будинок друку,"Московський просп., 140",Московський просп.,на Салтівку,Фрунз.,●,●,
вулиця Ковтуна,вул. Ковтуна,"П'ятдесятиріччя СРСР просп., 38",П'ятдесятиріччя СРСР просп.,на Салтівку,Фрунз.,●,●,
вулиця Ковтуна,вул. Ковтуна,"П'ятдесятиріччя СРСР просп., 159",П'ятдесятиріччя СРСР просп.,до вул. Одеської,Фрунз.,●,●,
Енергоремонтне підприємство,Енергоремонтне підприємство,"П'ятдесятиріччя СРСР просп., 149",П'ятдесятиріччя СРСР просп.,до вул. Одеської,Фрунз.,●,●,
вулиця Олімпійська,вул. Олімпійська,"П'ятдесятиріччя СРСР просп., 173",П'ятдесятиріччя СРСР просп.,до вул. Одеської,Фрунз.,●,●,
вулиця Олімпійська,вул. Олімпійська,"П'ятдесятиріччя СРСР просп., 48",П'ятдесятиріччя СРСР просп.,на Салтівку,Фрунз.,●,●,
вулиця Олімпійська,вул. Олімпійська,"Олімпійська вул., 3",Олімпійська вул.,до ст. м. «Маршала Жукова»,Фрунз.,●,,
Московський проспект,пр. Московський,"Московський просп., 140",П'ятдесятиріччя СРСР просп.,на Салтівку,Фрунз.,●,●,
Московський проспект,пр. Московський,"Московський просп., 138а",П'ятдесятиріччя СРСР просп.,до вул. Одеської,Фрунз.,●,●,
вулиця Краснодарська,вул. Краснодарська,"П'ятдесятиріччя СРСР просп., 80",П'ятдесятиріччя СРСР просп.,на Салтівку,Фрунз.,●,●,
вулиця Харківських Дивізій,вул. Харківських Дивізій,"Харківських Дивізій вул., 1",Московський просп.,до ст.м. «Радянської Армії»,Фрунз.,●,●,
